,Produto,Categoria,Valor,Descricao,Marca,Termo
33,Shopmania Music Band A5 Notebook Spiral Bound,Pens & Stationery,"R$:499,00",Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00678 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad; Diary; Writing pad In the Box Sales Package 1 Notebook,Shopmania,Pens & Stationery: Canetas e artigos de papelaria
34,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",Pens & Stationery,"R$:1000,00","Specifications of Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound (Coffee; Pack of 3) General Ruling ruled Model id 244 Type Notebook No. of Pages 216 Brand Name Tiara Diaries Binding Hard Bound Size B5 Color Coffee",Tiara Diaries,Pens & Stationery: Canetas e artigos de papelaria
35,KAJCI Embroidered Women's Waistcoat,Clothing,"R$:1200,00",Specifications of KAJCI Embroidered Women's Waistcoat General Details Pattern Embroidered Ideal For Women's Waistcoat Details Fabric Art Silk In the Box Waistcoat Additional Details Style Code LKOD112 Fabric Care Dry Clean Only,KAJCI,Clothing: Confecções
36,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,Pens & Stationery,"R$:350,00",Key Features of Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag Supplying to Over 200 Companies around world International E-commerce Standard Direct From ISO 9002 Factory 60 Microns High Quality Bags Longer Lasting Protection;Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag (21.59 x 27.95 Pack of 100) Price: Rs. 298 Courier Bag;Specifications of Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag (21.59 x 27.95 Pack of 100) General Bubble Wrap Present No Brand Packman Model Number 8 x 10 inches Security Bags Without POD Jacket Courier Bag Water Resistant Yes Tamper Proof Yes Material Plastic POD Jacket Available No Color Grey Size 21.59 x 27.95 Dimensions Weight 600 g Other Dimensions 8 x 10 Thickness 60 micron Additional Features Other Features security bag In the Box Sales Package 1 pack contains 100 pcs Pack of 100,Packman,Pens & Stationery: Canetas e artigos de papelaria
37,Pick Pocket Embroidered Women's Waistcoat,Clothing,"R$:899,00",Specifications of Pick Pocket Embroidered Women's Waistcoat General Details Pattern Embroidered Occasion Casual Ideal For Women's Waistcoat Details Lining Polyester Fabric Bengal Silk Additional Details Style Code TL-012 Fabric Care First Time Dry Clean,Pick Pocket,Clothing: Confecções
38,Angelfish Silk Potali Potli,Bags,"R$:999,00",Angelfish Silk Potali Potli (Multicolor) Price: Rs. 399 Made by silk Fabric with fancy lace adnored and stylish handle also.(set of 2 piece);Specifications of Angelfish Silk Potali Potli (Multicolor) General Closure Velcro Type Potli Material Fabric Style Code AELKABJ01224-A Ideal For Girls Bag Size Small Occasion Party Color Code Multicolor Dimensions Weight 200 g Body Features Number of Compartments 1,Angelfish,Bags: Bolsas
39,Oye Boy's Dungaree,Clothing,"R$:899,00",Specifications of Oye Boy's Dungaree Top Details Number of Contents in Sales Package Pack of 1 Fabric Cotton Type Dungaree General Details Pattern Solid Ideal For Boy's In the Box 1 Dungaree,Oye,Clothing: Confecções
40,Nuride Canvas Shoes,Footwear,"R$:1999,00",Key Features of Nuride Canvas Shoes Material: Canvas Occasion: Casual Color: Red Heel Height: 0.5;Specifications of Nuride Canvas Shoes General Occasion Casual Ideal For Women Shoe Details Heel Height 0.5 inch Outer Material Canvas Color Red,Nuride,Footwear: Calçados
41,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,Home Decor & Festive Needs,"R$:1499,00",Key Features of OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm Paper Mache Height - 38.1 cm Width - 38.1 cm;OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm (Paper Mache; Multicolor) Price: Rs. 1;499 Omshivakriti brings you this square wall watch made from paper mache and finished in attractive set of colors. The product in display is ideal to décor your home.;Specifications of OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm (Paper Mache; Multicolor) General Brand OM SHIVAKRITI Model Number OSK60 Type Antique Material Paper Mache Model Name Square wall Clock Color Multicolor Dimensions Height 38.1 cm Width 38.1 cm Depth 3.81 cm In the Box Sales Package 1 showpiece,OM SHIVAKRITI,Home Decor & Festive Needs: Decoração e Necessidades Festivas
42,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,Automotive,"R$:6999,00",Himmlisch ST381 Magnetic Sun Shade For Maruti Alto (Side Window) Price: Rs. 1;899 Beat the heat this summer and feel like a VIP with Himmlisch Car Window Magnetic Sunshades. These magnetic sunshades create a mesh layer to stops the heat. Magnet border gets easily stick to your car window door edges (No need of Suction cups) Features: Block UV Rays Keeps Car Cool Easy to install and remove Durable and Exact Fit Provides Complete privacy Resists Heat Mesh Type Sunshade Package Contents: 1 x Set Of 4 Magnetic Sunshades;Specifications of Himmlisch ST381 Magnetic Sun Shade For Maruti Alto (Side Window) General Brand Himmlisch Model Number ST381 Magnetic Placement Position Side Window Color Black Dimensions Weight 4000 g Depth 1.1 cm In the Box Sales Package 4 Sun Shade Pack of 4,Himmlisch,Automotive: Automotivo
43,Rapter BNC-179 BNC Wire Connector,Tools & Hardware,"R$:2299,00",Rapter BNC-179 BNC Wire Connector (Silver; Pack of 100) Price: Rs. 1;400 Rapter Pack of 100 BNC Connector.Superior quality BNC Connectors with high quality outer metel and brass conductors used to maintain a proper video/signal quality.BNC normally used in co-axial cables to lock with female connectors which ensures permanancy of connection.They can be used in DVRs; NVRs and CCTV Cameras etc.;Specifications of Rapter BNC-179 BNC Wire Connector (Silver; Pack of 100) General Brand Rapter Suitable For Wire to Wire Connection; Wire to Circuit Board Connection Model Number BNC-179 Type BNC Waterproof Yes Corrosion Proof Yes Color Silver In the box Sales Package 100 BNC Connector Pack of 100,Rapter,Tools & Hardware: Ferramentas e Hardware
44,Vishudh Printed Women's Straight Kurta,Vishudh Printed Women's Straight Kurta,"R$:999,00",Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% Cotton Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004384 NAVY BLUE Fabric Care Gentle Machine Wash in Lukewarm Water; Do Not Bleach,Vishudh,Vishudh Printed Women's Straight Kurta: Kurta reto feminino estampado Vishudh
45,Vishudh Printed Women's Straight Kurta,Vishudh Printed Women's Straight Kurta,"R$:899,00",Specifications of Vishudh Printed Women's Straight Kurta Kurta Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Fabric 100% POLYESTER Type Straight Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004370 PINK::OLIVE Fabric Care Gentle Machine Wash in Lukewarm Water; Do Not Bleach,Vishudh,Vishudh Printed Women's Straight Kurta: Kurta reto feminino estampado Vishudh
46,Vishudh Printed Women's Anarkali Kurta,Vishudh Printed Women's Anarkali Kurta,"R$:2099,00",Specifications of Vishudh Printed Women's Anarkali Kurta Kurta Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 1 Fabric 100% Cotton Type Anarkali Neck ROUND NECK General Details Pattern Printed Occasion Festive Ideal For Women's In the Box Kurta Additional Details Style Code VNKU004389 BEIGE::PINK Fabric Care Gentle Machine Wash in Lukewarm Water; Do Not Bleach,Vishudh,Vishudh Printed Women's Anarkali Kurta: Anarkali Kurta feminino estampado Vishudh
47,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,BuildTrack PIR Wireless Motion Sensor - One Swit...,"R$:6500,00",Key Features of BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System National Award Winning Product Long Battery Life Freely Placed Low Power Consumed;BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System Price: Rs. 5;000 Buildtrack's Wireless Motion Sensor turns your existing light switches off when you leave the room and turns them on when you return. This model is ideal for fitting on a ceiling. It is battery powered and will work with One Single Switch. Using Wireless Motion Sensor stops Wastage of Energy and Lower your Electricity Bills. It is highly suitable for homes; institutions; banks; offices and healthcare. • Saves Energy • Lowers electricity bills • National Award Winning Product • Adds convenience • Works with existing switches; no re – wiring • Quick and easy installation • Freely placed • Long battery life • Single device for multiple switches • No aesthetic changes / No external wiring • Adjustable time delay for turning off;Related video of BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System;Specifications of BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System General Detection Angle 360 degree Brand BuildTrack Brand Color Off White Suitable For Homes; Offices; Intermittent Spaces; Warehouses; Industrial Spacing Wired/Wireless Wireless Display Type NA Installation Type Plug and Play; Simply Attached to the Ceiling Model Number PIR Wireless Motion Sensor - One Switch Control Audible Alarm No Maximum Alarm Distance 0 m Minimum Alarm Distance 0 m Detection Range 10 ft Number of Sensors 1 Color White Dimensions Weight 200 g Other Dimensions 106x106x71 mm Warranty Service Type Manufacturer's Warranty - 1 Year In the Box Wireless Motion Detector | Actuator | User Manual | Warranty Card Additional Features Other Features Saves Energy; Lowers Electricity Bills; Adds Convenience; Works with Existing Switches; No Re – Wiring; Quick and Easy Installation; Single Device for Multiple Switches; No Aesthetic Changes / No External Wiring; Adjustable Time Delay for Turning Off Technology Used Passive Infra Red (PIR),BuildTrack,BuildTrack PIR Wireless Motion Sensor - One Swit...: Sensor de movimento sem fio BuildTrack PIR - um interruptor...
48,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...,"R$:9990,00","Key Features of Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System Dry run protection L/H Voltage protection Corrosion free sensors Has Manual/Auto mode;Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System Price: Rs. 4;990 ""This system is suitable for single phase submersible pump. The sytem auto start the submersible pump when water level in tank reaches preset lower level and auto switch off the pump when tank gets full.Upper and lower level is adjustable as per user choice. The system indicates 4 different levels of water (¼ ; ½; ¾; and Full) of overhead tank. The system has Auto /manual switch."";Related video of Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System;Specifications of Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System In the Box 1 pack of Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER General Brand Skayvon Model Number SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired/Wireless Wired Number of Sensors 4 Brand Color Ivory Display Type LED Audible Alarm NO Installation Type Cabling Detection Range 987 ft Minimum Alarm Distance 10 m Maximum Alarm Distance 98 m Color Silver LED Indicators Yes",Skayvon,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...: Skayvon SUMMERSIBLE CONTROLADOR DE BOMBA MONOFÁSICA...
